Treatment,Module,Eigenvalue,,MEmagenta,MEturquoise,MEgreen,MEred,MEyellow,MEblue,MEpink,MEblack,MEbrown,MEgrey
Poly_Cont,8,0.878140354,,,,,,,,,,,
Mono_Pest,8,0.035103783,,,,,,,,,,,
Mono_Pest,8,-0.0479518,,,,,,,,,,,
Mono_Pest,8,-0.106551468,,,,,,,,,,,
Poly_Pest,8,0.004703135,,,,,,,,,,,
Poly_Pest,8,-0.087704493,,,,,,,,,,,
Poly_Pest,8,-0.15018428,,,,,,,,,,,
Mono_Cont,9,0.269139069,,,,,,,,,,,
Mono_Cont,9,-0.101295053,,,,,,,,,,,
Mono_Cont,9,0.193767387,,,,,,,,,,,
Poly_Cont,9,0.246935662,,,,,,,,,,,
Poly_Cont,9,-0.157065472,,,,,,,,,,,
Poly_Cont,9,-0.320771459,,,,,,,,,,,
Mono_Pest,9,0.249659225,,,,,,,,,,,
Mono_Pest,9,0.056328284,,,,,,,,,,,
Mono_Pest,9,-0.75143339,,,,,,,,,,,
Poly_Pest,9,0.151935929,,,,,,,,,,,
Poly_Pest,9,0.192587587,,,,,,,,,,,
Poly_Pest,9,-0.029787769,,,,,,,,,,,
Mono_Cont,10,-0.259642657,,,,,,,,,,,
Mono_Cont,10,0.83305381,,,,,,,,,,,
Mono_Cont,10,0.157849586,,,,,,,,,,,
Poly_Cont,10,-0.316633565,,,,,,,,,,,
Poly_Cont,10,-0.062753362,,,,,,,,,,,
Poly_Cont,10,-0.057157975,,,,,,,,,,,
Mono_Pest,10,-0.227929293,,,,,,,,,,,
Mono_Pest,10,-0.160606836,,,,,,,,,,,
Mono_Pest,10,0.002711878,,,,,,,,,,,
Poly_Pest,10,-0.094113774,,,,,,,,,,,
Poly_Pest,10,0.057511152,,,,,,,,,,,
Poly_Pest,10,0.127711036,,,,,,,,,,,
